iter	Logloss
0	0.6569683442
1	0.6230525995
2	0.5927117223	0.5641017445
4	0.5371874383
5	0.5125203247
6	0.4900071345
7	0.46954813
8	0.8	0.45030179	0.9	0.432915910	10	0.4195884011	11	0.4045859199
12	0.3910843122
13	0.3785863472
14	0.3670956381
15	0.356265217
16	0.3464893617	17	0.337417318	018	0.32879091919	0.3205111902020	0.313474421	021	0.306952922	022	0.300386023	023	0.294821424	024	0.289682225	0.2809797416
26	0.2765029337
27	027	0.27540628	0.28	0.27185929	0.2646912407
30	0.2610772488
31	0.2572515532
32	0.2535853945
33	0.2500813368
34	0.2472496298
35	0.2440708521
36	0.241667126
37	0.2398625981
38	38	0.2420093439
39	0.2398265667
40	0.2383679971
41	0.2362790293
42	0.2348884032
43	0.2330625414
44	0.2311820631
45	0.2295197167
46	0.228496547	047	0.226965348	048	0.2251947113
49	0.224172550	050	0.2225751888
51	0.22141552	0.52	0.2202420018
53	0.2189991323
54	0.2175474454
55	0.216706392
56	0.2159109604
57	0.2147002992
58	0.2140170721
59	0.21313960	0.60	0.2121621865
61	0.2112269109
62	0.2103629326
63	0.2093487888
64	0.2085431862
65	0.20769766	0.66	0.2069811123
67	0.2062004558
68	0.2055775082
69	0.2049344472
70	0.2044063528
71	0.2038620542
72	0.2032081682
73	0.2024568903
74	0.201907597
75	0.2015184146
76	0.2011180035
77	0.2007538963
78	0.2004670217
79	0.1999719268
80	0.1996312426
81	0.1993507437
82	0.1987795556
83	0.1984069977
84	0.1980023901
85	0.1975959767
86	0.1971398063
87	0.1969977467
88	0.1967104668
89	0.1962982423
90	0.1961179558
91	0.1956558871
92	0.1953019091
93	0.1950349359
94	0.1946940679
95	0.1944264367
96	0.194211364
97	0.1939421573
98	0.1936450369
99	0.1933479535
100	0.1930660472
101	0.1927862996
102	0.1925534608
103	0.1923750851
104	0.1922471549
105	0.1921226221
106	0.1917833226
107	0.1916605463
108	0.1914842411
109	0.1912707043
110	0.1910705235
111	0.1909185392
112	0.1906831624
113	0.1906142428
114	0.19038115	0.115	0.19019116	0.116	0.19001117	0.117	0.18978118	0118	0.18973119	0.119	0.18950120	0.180528964
121	0.1121	0.1890122	0.1800566477
123	0.1797609713
124	0.1795966996
125	0.1794545573
126	0.1792139297
127	0.1789110874
128	0.1787287598
129	0.1784008745
130	0.1782263505
131	0.1780935117
132	0.1779312887
133	0.1777676884
134	0.1777586574
135	0.1776227845
136	0.1774771916
137	0.1772373223
138	0.1769337902
139	0.1767139386
140	0.176538253
141	0.1763317271
142	0.1761425148
143	0.175981848
144	0.175826882
145	0.1757053437
146	0.1755515693
147	0.1753859921
148	0.1752138877
149	0.1749179957
150	0.1748147223
151	0.1746061659
152	0.1745665029
153	0.1744739193
154	0.1742792386
155	0.174126417
156	0.174018664
157	0.1739565155
158	0.1737750632
159	0.1735574334
160	0.1734467137
161	0.173284401
162	0.1731037178
163	0.172820602
164	0.1726593513
165	0.1725439351
166	0.1722425512
167	0.1721069891
168	0.1719585706
169	0.1718096163
170	0.1714904822
171	0.1712868479
172	0.171124309
173	0.1709292022
174	0.1708359064
175	0.1708359049
176	0.1706111254
177	0.1704995974
178	0.1702939791
179	0.1702583655
180	0.1700094195
181	0.1698509116
182	0.1697282913
183	0.1696419836
184	0.1694940934
185	0.1692943294
186	0.1689169987
187	0.168762801
188	0.1686656952
189	0.1685540214
190	0.1681350923
191	0.1680612442
192	0.1679356007
193	0.1678880484
194	0.1678235555
195	0.1677651338
196	0.1676242199
197	0.1674405994
198	0.1673416045
199	0.1671643756
200	0.1669475581
201	0.1667796928
202	0.1667796564
203	0.1665936739
204	0.1663859813
205	0.1663365559
206	0.1662286233
207	0.1661101653
208	0.1659136678
209	0.1657246824
210	0.1656368015
211	0.1654974509
212	0.1654289191
213	0.1653508915
214	0.165223481
215	0.1650395281
216	0.1649359125
217	0.1648021267
218	0.1647488879
219	0.1645596009
220	0.1644004923
221	0.1643343206
222	0.164247319
223	0.1641819311
224	0.1641742036
225	0.1640773591
226	0.1639546425
227	0.1637948903
228	0.1636553496
229	0.1634511357
230	0.1633411718
231	0.1632517388
232	0.1631304877
233	0.1630792826
234	0.1629884229
235	0.1629195484
236	0.1627441361
237	0.1626114111
238	0.1624329191
239	0.162361887
240	0.1622199033
241	0.1621679158
242	0.1619397609
243	0.1619009371
244	0.1618727258
245	0.1617828587
246	0.1617408708
247	0.1617343255
248	0.161659445
249	0.1615409097
250	0.1614118706
251	0.1613459954
252	0.1613459903
253	0.1612424848
254	0.1611520226
255	0.1610591645
256	0.160958156
