iter	Passed	Remaining
0	9	9676
1	26	13386
2	37	12524
3	51	12740
4	66	13321
5	84	13930
6	97	13770
7	112	13968
8	150	16527
9	167	16597
10	185	16661
11	193	15957
12	204	15497
13	219	15459
14	237	15572
15	253	15570
16	269	15578
17	285	15583
18	300	15530
19	316	15505
20	332	15513
21	343	15279
22	359	15276
23	377	15343
24	394	15383
25	409	15342
26	425	15344
27	442	15349
28	457	15328
29	473	15318
30	490	15327
31	517	15662
32	533	15635
33	550	15638
34	566	15630
35	582	15598
36	599	15594
37	610	15453
38	626	15445
39	642	15423
40	660	15456
41	677	15446
42	695	15477
43	712	15475
44	730	15500
45	746	15471
46	763	15472
47	778	15438
48	794	15411
49	810	15396
50	826	15381
51	842	15352
52	850	15193
53	865	15159
54	881	15141
55	902	15214
56	920	15233
57	938	15235
58	957	15274
59	973	15243
60	988	15220
61	1005	15210
62	1022	15201
63	1038	15189
64	1054	15169
65	1070	15142
66	1085	15116
67	1101	15100
68	1118	15097
69	1135	15081
70	1151	15062
71	1167	15053
72	1183	15033
73	1199	15014
74	1216	14998
75	1230	14961
76	1241	14887
77	1257	14867
78	1273	14849
79	1290	14835
80	1307	14832
81	1322	14805
82	1338	14787
83	1356	14788
84	1373	14786
85	1389	14768
86	1395	14647
87	1413	14648
88	1429	14629
89	1445	14615
90	1462	14605
91	1478	14595
92	1491	14548
93	1519	14645
94	1536	14634
95	1556	14659
96	1574	14658
97	1592	14657
98	1603	14591
99	1620	14588
100	1650	14690
101	1685	14842
102	1703	14836
103	1721	14829
104	1737	14808
105	1753	14785
106	1769	14767
107	1785	14750
108	1802	14735
109	1818	14717
110	1834	14693
111	1850	14675
112	1863	14624
113	1878	14601
114	1889	14543
115	1906	14531
116	1914	14451
117	1929	14419
118	1944	14396
119	1964	14404
120	1982	14398
121	1998	14382
122	2016	14379
123	2033	14364
124	2040	14286
125	2058	14281
126	2081	14306
127	2101	14318
128	2121	14326
129	2141	14331
130	2159	14325
131	2179	14330
132	2198	14334
133	2206	14261
134	2216	14201
135	2234	14196
136	2246	14154
137	2266	14156
138	2286	14160
139	2294	14097
140	2313	14095
141	2331	14088
142	2338	14012
143	2353	13992
144	2369	13970
145	2385	13951
146	2404	13950
147	2422	13945
148	2439	13931
149	2456	13921
150	2460	13834
151	2476	13815
152	2485	13759
153	2501	13743
154	2516	13720
155	2546	13774
156	2563	13766
157	2580	13750
158	2588	13693
159	2605	13679
160	2614	13625
161	2640	13660
162	2652	13619
163	2674	13633
164	2683	13580
165	2700	13569
166	2709	13514
167	2725	13495
168	2741	13482
169	2758	13469
170	2776	13459
171	2794	13451
172	2813	13448
173	2830	13437
174	2846	13417
175	2862	13399
176	2872	13356
177	2885	13327
178	2894	13275
179	2910	13260
180	2928	13251
181	2944	13231
182	2963	13228
183	2980	13219
184	2999	13213
185	3017	13204
186	3026	13156
187	3033	13100
188	3039	13041
189	3050	13003
190	3065	12983
191	3082	12972
192	3096	12945
193	3112	12933
194	3128	12916
195	3143	12896
196	3159	12878
197	3166	12825
198	3183	12815
199	3201	12804
200	3218	12793
201	3237	12791
202	3254	12779
203	3270	12761
204	3287	12748
205	3302	12730
206	3318	12714
207	3325	12662
208	3340	12641
209	3355	12622
210	3374	12617
211	3390	12603
212	3407	12590
213	3424	12579
214	3443	12572
215	3452	12531
216	3469	12520
217	3486	12506
218	3501	12487
219	3515	12465
220	3535	12462
221	3563	12487
222	3579	12470
223	3594	12451
224	3609	12432
225	3627	12422
226	3646	12418
227	3667	12417
228	3685	12408
229	3700	12388
230	3721	12388
231	3738	12375
232	3756	12366
233	3784	12388
234	3790	12340
235	3812	12341
236	3829	12328
237	3847	12318
238	3856	12279
239	3862	12231
240	3878	12215
241	3885	12169
242	3900	12152
243	3916	12135
244	3932	12118
245	3950	12107
246	3966	12092
247	3986	12088
248	4005	12080
249	4022	12068
250	4041	12058
251	4059	12048
252	4076	12037
253	4094	12024
254	4111	12010
255	4117	11967
256	4126	11930
257	4141	11910
258	4160	11901
259	4175	11885
260	4191	11867
261	4207	11850
262	4225	11841
263	4245	11834
264	4263	11824
265	4282	11816
266	4297	11797
267	4313	11781
268	4330	11768
269	4346	11750
270	4364	11739
271	4381	11725
272	4397	11709
273	4413	11694
274	4430	11681
275	4448	11669
276	4468	11663
277	4486	11651
278	4503	11638
279	4522	11630
280	4540	11616
281	4602	11718
282	4621	11707
283	4639	11696
284	4656	11682
285	4675	11671
286	4693	11661
287	4710	11645
288	4727	11631
289	4743	11613
290	4759	11597
291	4779	11589
