iter	Passed	Remaining
0	21	21177
1	32	16194
2	49	16327
3	62	15438
4	77	15342
5	91	15210
6	105	14979
7	119	14802
8	134	14842
9	151	15043
10	166	14934
11	176	14509
12	188	14342
13	201	14160
14	219	14399
15	240	14783
16	254	14737
17	268	14641
18	282	14602
19	293	14360
20	306	14290
21	321	14309
22	337	14326
23	351	14284
24	364	14225
25	372	13962
26	387	13956
27	396	13772
28	413	13835
29	428	13863
30	444	13901
31	455	13788
32	469	13764
33	485	13805
34	501	13830
35	515	13806
36	530	13810
37	545	13804
38	554	13668
39	570	13702
40	590	13810
41	608	13888
42	626	13935
43	643	13987
44	650	13801
45	667	13833
46	696	14118
47	711	14110
48	726	14090
49	742	14115
50	768	14300
51	784	14310
52	803	14353
53	818	14345
54	834	14344
55	850	14339
56	865	14316
57	880	14302
58	897	14307
59	909	14243
60	926	14257
61	943	14280
62	959	14272
63	974	14255
64	991	14256
65	1007	14259
66	1021	14217
67	1037	14213
68	1053	14211
69	1068	14197
70	1075	14068
71	1092	14079
72	1110	14099
73	1127	14102
74	1154	14244
75	1186	14426
76	1202	14414
77	1218	14407
78	1254	14631
79	1267	14581
80	1283	14557
81	1299	14546
82	1314	14519
83	1333	14538
84	1350	14542
85	1357	14424
86	1371	14396
87	1387	14377
88	1403	14361
89	1418	14342
90	1434	14331
91	1450	14316
92	1458	14224
93	1473	14202
94	1488	14180
95	1507	14192
96	1524	14190
97	1538	14164
98	1557	14170
99	1565	14093
100	1572	13995
101	1587	13979
102	1604	13976
103	1622	13981
104	1639	13976
105	1648	13907
106	1663	13885
107	1670	13793
108	1684	13771
109	1700	13756
110	1706	13666
111	1721	13648
112	1736	13634
113	1753	13626
114	1768	13613
115	1785	13605
116	1801	13592
117	1815	13566
118	1831	13556
119	1846	13542
120	1863	13539
121	1879	13526
122	1894	13510
123	1911	13505
124	1926	13487
125	1945	13493
126	1962	13493
127	1980	13491
128	1984	13399
129	2002	13398
130	2019	13399
131	2036	13393
132	2053	13385
133	2064	13344
134	2072	13282
135	2088	13268
136	2104	13254
137	2119	13238
138	2134	13220
139	2150	13208
140	2168	13207
141	2186	13210
142	2199	13179
143	2217	13180
144	2235	13182
145	2253	13183
146	2270	13176
147	2288	13175
148	2307	13177
149	2324	13173
150	2342	13171
151	2360	13170
152	2377	13163
153	2396	13163
154	2416	13174
155	2433	13168
156	2449	13153
157	2467	13149
158	2474	13088
159	2490	13075
160	2501	13037
161	2516	13019
162	2533	13008
163	2548	12992
164	2552	12918
165	2567	12899
166	2582	12883
167	2589	12825
168	2607	12820
169	2624	12813
170	2642	12810
171	2659	12802
172	2676	12794
173	2692	12783
174	2708	12769
175	2724	12756
176	2741	12747
177	2752	12710
178	2767	12692
179	2783	12679
180	2801	12675
181	2817	12664
182	2834	12654
183	2850	12643
184	2868	12638
185	2875	12582
186	2895	12586
187	2901	12533
188	2917	12520
189	2933	12506
190	2950	12498
191	2966	12485
192	2983	12473
193	3001	12468
194	3017	12456
195	3032	12439
196	3048	12426
197	3063	12409
198	3078	12391
199	3095	12380
200	3110	12365
201	3127	12356
202	3134	12306
203	3151	12297
204	3169	12290
205	3176	12242
206	3195	12239
207	3204	12201
208	3221	12190
209	3233	12162
210	3251	12158
211	3269	12151
212	3280	12121
213	3298	12113
214	3315	12105
215	3332	12094
216	3350	12088
217	3366	12077
218	3385	12071
219	3403	12066
220	3413	12031
221	3429	12019
222	3436	11973
223	3454	11965
224	3470	11953
225	3486	11941
226	3503	11928
227	3519	11915
228	3535	11903
229	3542	11860
230	3559	11849
231	3568	11814
232	3585	11802
233	3601	11788
234	3617	11775
235	3633	11761
236	3648	11745
237	3663	11730
238	3679	11717
239	3695	11703
240	3711	11688
241	3727	11676
242	3745	11666
243	3751	11624
244	3767	11610
245	3785	11602
246	3802	11592
247	3819	11582
248	3835	11566
249	3853	11560
250	3872	11555
251	3887	11537
252	3903	11524
253	3918	11509
254	3934	11495
255	3950	11481
256	3966	11467
257	3983	11457
258	4000	11444
259	4015	11429
260	4032	11417
261	4048	11404
262	4064	11389
263	4081	11377
264	4091	11349
265	4107	11333
266	4122	11318
267	4139	11305
268	4156	11294
269	4162	11254
270	4178	11239
271	4195	11230
272	4212	11217
273	4228	11204
274	4245	11191
275	4260	11175
276	4276	11161
277	4293	11151
278	4317	11156
279	4325	11121
280	4342	11110
281	4358	11096
282	4375	11086
283	4391	11071
284	4407	11057
285	4423	11042
286	4440	11030
287	4462	11031
288	4478	11017
289	4494	11004
290	4511	10991
291	4528	10979
292	4544	10966
293	4561	10953
294	4580	10945
295	4596	10932
296	4612	10917
297	4628	10902
298	4643	10887
299	4672	10902
300	4688	10887
301	4704	10873
302	4721	10861
303	4738	10848
304	4756	10839
305	4774	10827
306	4791	10815
307	4806	10799
308	4822	10785
309	4838	10770
310	4853	10753
311	4869	10738
312	4886	10724
313	4902	10710
